epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,154.371,1.03,0.64312,0.83068,0.78044,0.59914,0.65484,0.46929,0.84979,0.55534,0.90829,0.000208008,0.000208008,0.000208008
151,155.377,1.04437,0.65617,0.8351,0.78179,0.60679,0.6566,0.46516,0.83438,0.5569,0.91284,0.000207766,0.000207766,0.000207766
152,156.408,0.98566,0.65736,0.83151,0.78518,0.61174,0.66281,0.47335,0.76191,0.54466,0.91046,0.000207524,0.000207524,0.000207524
153,157.44,1.03117,0.66263,0.82771,0.79176,0.60333,0.66182,0.4736,0.76526,0.54554,0.90872,0.000207283,0.000207283,0.000207283
154,158.464,1.02058,0.65708,0.82873,0.82874,0.58898,0.66029,0.46587,0.78629,0.54401,0.90417,0.000207041,0.000207041,0.000207041
155,159.48,1.01727,0.65273,0.8386,0.80348,0.60143,0.65942,0.46559,0.75415,0.54005,0.90016,0.0002068,0.0002068,0.0002068
156,160.589,1.05515,0.65445,0.83393,0.81315,0.61158,0.66175,0.47497,0.77682,0.56059,0.90506,0.000206558,0.000206558,0.000206558
157,161.641,1.06501,0.67144,0.83022,0.81527,0.59671,0.66299,0.48393,0.7847,0.56312,0.9096,0.000206317,0.000206317,0.000206317
158,162.7,1.00514,0.68041,0.83514,0.81051,0.60459,0.66172,0.48473,0.75768,0.54158,0.90038,0.000206075,0.000206075,0.000206075
159,163.755,0.99699,0.64752,0.83638,0.82968,0.59595,0.66129,0.48032,0.74424,0.52685,0.89994,0.000205834,0.000205834,0.000205834
160,164.804,1.03235,0.65562,0.82834,0.83564,0.59627,0.66484,0.48246,0.79496,0.53996,0.91319,0.000205592,0.000205592,0.000205592
161,165.793,0.98632,0.63587,0.83024,0.8472,0.58044,0.66538,0.48713,0.79144,0.5422,0.91915,0.00020535,0.00020535,0.00020535
162,168.324,1.01303,0.62627,0.82912,0.84073,0.58429,0.66508,0.48571,0.77243,0.53269,0.91642,0.000205109,0.000205109,0.000205109
163,169.291,1.02597,0.65628,0.8298,0.84692,0.59597,0.67062,0.48672,0.76798,0.5326,0.918,0.000204867,0.000204867,0.000204867
164,170.36,1.01811,0.64379,0.82679,0.8409,0.59802,0.66475,0.48165,0.76418,0.54983,0.91366,0.000204626,0.000204626,0.000204626
165,171.433,1.03294,0.65486,0.83582,0.83873,0.58848,0.66642,0.48943,0.74637,0.56232,0.90976,0.000204384,0.000204384,0.000204384
