epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,5113.53,0.25591,0.19661,0.78569,0.99766,0.99227,0.99491,0.98894,0.14525,0.13228,0.75934,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5193.75,0.25623,0.19771,0.78522,0.99693,0.99272,0.9949,0.98873,0.15027,0.13371,0.75992,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5270.31,0.25341,0.19446,0.78468,0.99728,0.99249,0.9949,0.98928,0.14367,0.13177,0.7591,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5346.86,0.25179,0.19392,0.78483,0.99753,0.99262,0.99489,0.98938,0.14299,0.1311,0.75899,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5423.78,0.25021,0.19269,0.78425,0.99768,0.99219,0.9949,0.98941,0.14294,0.13056,0.75869,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5502.37,0.24864,0.19102,0.78382,0.9975,0.99247,0.99489,0.98957,0.1418,0.12961,0.75842,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5579.08,0.24746,0.18996,0.78381,0.99805,0.99222,0.99487,0.98954,0.14003,0.12813,0.75822,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5659.43,0.24451,0.18928,0.78348,0.99776,0.99228,0.99478,0.98943,0.14148,0.12856,0.75829,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5735.89,0.2429,0.18772,0.78314,0.9978,0.99247,0.99491,0.98976,0.13835,0.12749,0.75807,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,5812.43,0.24324,0.18726,0.78342,0.99771,0.99242,0.99486,0.98979,0.1381,0.127,0.75796,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,5889.03,0.24101,0.18649,0.78328,0.99769,0.99259,0.99489,0.98977,0.13701,0.12611,0.75776,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,5965.71,0.24114,0.18688,0.78278,0.9975,0.99253,0.99491,0.98976,0.13868,0.12666,0.75802,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6042.99,0.23895,0.18479,0.78315,0.99762,0.99257,0.99483,0.98975,0.13766,0.12576,0.75785,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,6125.53,0.23746,0.18365,0.78336,0.9973,0.99286,0.99483,0.9899,0.13562,0.12502,0.75752,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,6202.09,0.23721,0.18335,0.78261,0.99743,0.99259,0.99492,0.98998,0.13614,0.12485,0.75755,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,6278.46,0.23673,0.18339,0.78222,0.99765,0.9927,0.99491,0.99002,0.13496,0.12414,0.75739,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,6354.86,0.23456,0.18163,0.7811,0.99757,0.99251,0.99491,0.98998,0.13546,0.12409,0.75739,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,6431.49,0.23273,0.1806,0.78147,0.99718,0.99306,0.99486,0.99003,0.13428,0.12376,0.75724,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6507.98,0.2316,0.17823,0.7812,0.99789,0.99222,0.99491,0.99007,0.13426,0.12327,0.7572,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,6584.38,0.23131,0.17851,0.78121,0.99764,0.99221,0.99491,0.99022,0.13209,0.12238,0.75702,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6664.32,0.22899,0.17618,0.78202,0.99756,0.99232,0.9949,0.99029,0.13136,0.12193,0.75687,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,6740.7,0.22809,0.17663,0.78109,0.9977,0.99217,0.9949,0.99032,0.1308,0.12148,0.75673,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,6817.77,0.22684,0.17545,0.78182,0.99767,0.99225,0.99493,0.99027,0.13101,0.12142,0.7567,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,6895.86,0.22509,0.17415,0.78099,0.99774,0.99235,0.9949,0.99034,0.13135,0.12118,0.75672,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,6972.57,0.22374,0.17299,0.78163,0.99783,0.9925,0.99489,0.99029,0.13056,0.12075,0.75658,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,7048.98,0.22298,0.17227,0.78069,0.9977,0.99257,0.9949,0.99047,0.13,0.12024,0.75649,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,7127.94,0.20574,0.15834,0.77724,0.99775,0.9924,0.99489,0.99065,0.12858,0.11973,0.75626,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,7202.63,0.20167,0.15569,0.77599,0.99794,0.99249,0.99489,0.9906,0.12959,0.11988,0.7563,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,7277.14,0.19831,0.15388,0.77667,0.99789,0.99242,0.99489,0.99053,0.12967,0.11961,0.75631,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,7351.56,0.19687,0.15266,0.77641,0.9979,0.99245,0.99489,0.99059,0.12955,0.11948,0.75633,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,7426.52,0.19483,0.15111,0.77538,0.99793,0.99233,0.99489,0.99054,0.12988,0.11931,0.75635,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,7501.1,0.19303,0.1499,0.77506,0.99768,0.99244,0.99489,0.99054,0.13036,0.11941,0.75638,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,7575.66,0.19245,0.1494,0.7759,0.99762,0.99238,0.99489,0.99055,0.13026,0.11922,0.75636,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,7650.26,0.19017,0.14658,0.77619,0.9976,0.99236,0.99489,0.99058,0.12948,0.11863,0.75628,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,7725.02,0.18819,0.14632,0.77492,0.99719,0.99283,0.99489,0.99057,0.12935,0.11858,0.75625,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,7799.62,0.18789,0.14559,0.77452,0.99724,0.99276,0.99494,0.99057,0.12931,0.11857,0.75621,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
